,0,1
0,attendance,0.05532503736739525
1,blocks_away_team,0.025749893404260444
2,blocks_home_team,0.023884043078899703
3,clearances_away_team,0.06242969875863134
4,clearances_home_team,0.049981145063487914
5,corners_away_team,0.02526028276817744
6,corners_home_team,0.02746800155742739
7,crosses_away_team,0.04264295654580072
8,crosses_home_team,0.04601880746105025
9,fouls_away_team,0.02970935323608082
10,fouls_home_team,0.027704749546879077
11,free_kicks_away_team,0.02793446456540235
12,free_kicks_home_team,0.027690664853602297
13,handballs_away_team,0.01229442826846042
14,handballs_home_team,0.01094645072762487
15,offsides_away_team,0.0228389853277601
16,offsides_home_team,0.023362520199610774
17,penalties_away_team,0.006455737429783116
18,penalties_home_team,0.009663857948344635
19,red_cards_away_team,0.0041977106565369415
20,red_cards_home_team,0.00677295538076894
21,saves_away_team,0.029877315814822687
22,saves_home_team,0.029294110448191007
23,shots_off_target_away_team,0.025091055686405975
24,shots_off_target_home_team,0.02566194312257428
25,shots_on_target_away_team,0.06152440462344726
26,shots_on_target_home_team,0.07112783658219739
27,throw_ins_away_team,0.034506147946426625
28,throw_ins_home_team,0.040517815725642684
29,total_shots_away_team,0.037902117794362714
30,total_shots_home_team,0.037925553849365364
31,yellow_cards_away_team,0.01866166517910313
32,yellow_cards_home_team,0.019578289081476182
